W11-CONTEXT-FRUGAL-RETURN-LAZY,Production,.full() lazy fetch from content store + flip feature flag default,shipped,Claude,-,2026-05-25,dispatch_cache.store_for_retrieve + lookup_by_id helpers (dispatch_id-keyed axis). dispatcher success path writes full payload to .harness/dispatched/<dispatch_id>.json + sets DispatchResult.content_ref=dispatch_id. Full text stored regardless of HARNESS_DISPATCH_FULL_BY_DEFAULT flag so future flip safely supports lazy fetch. Cache-write failures swallowed; dispatch still succeeds. Default flag flip DEFERRED to W11-DISPATCH-DEFAULT-FRUGAL followup row (or W12) — 81 .text-callers across worker/integrator/coord/tests haven't been audited yet. 8 new tests + test pinning default-flag-true as regression-protect. SDK DispatchResult.full() wraps this in W11-PYTHON-SDK-API-IMPL (Wave 11-D).
W11-DISPATCH-CACHE,Production,Same packet hash returns cached deliverable no re-dispatch,shipped,Claude,-,2026-05-25,"src/harness/engines/dispatch_cache.py module: compute_cache_key(content,adapter_path) -> <content_hash>__<adapter_hash> (truncated SHA-256; adapter file edits invalidate via hash change). lookup(key, project_root, ttl_sec) reads + drops expired entries lazily; corrupted entries auto-deleted. store(key, payload, project_root) accepts dataclass OR dict; routes through W9 atomic_write_json for kill-during-write safety. invalidate(key) for explicit eviction; clear_all() for full sweep. cache_stats() reports entries + total_bytes for telemetry. HARNESS_DISPATCH_CACHE_TTL_SEC env (default 24h; 0 = never expire; invalid = default). Cache dir resolves to <project_root>/.harness/dispatched/ (agent-target-project scoped). 24 new tests cover key format, content-changes-key-changes, adapter-edit-key-changes, missing-adapter-marker, roundtrip, miss-on-unknown, dataclass-input, dir-creation, valid-JSON-on-disk, TTL expiry + cleanup, env reading, corrupted-entry-cleanup, invalidate + clear_all, cache_stats, atomic-write integration."
W11-RETRIEVE-API,Production,harness.retrieve(dispatch_id scope='full'|'summary'|'chunks') for on-demand,shipped,Claude,-,2026-05-25,"harness.retrieve(dispatch_id, scope, chunk_size_tokens, project_root) implemented in _sdk.py. Reads from dispatch_cache.lookup_by_id (cache populated by W11-CONTEXT-FRUGAL-RETURN-LAZY). Three scopes: summary (cheap; cached summary string), full (entire text; burns context), chunks (list of chunk_size_tokens*4-char segments for RAG-style paginated read). ResultNotFoundError on missing id with operator-friendly message (never-ran / cache-cleared / wrong-project-root hints). ResultCorruptedError on missing summary/full_text fields (sentinel-based detection distinguishes missing key from empty value). ValueError on invalid scope. 13 new tests cover all 3 scopes, default-scope-is-summary, chunks-reassemble-to-full, chunk-size-respected, small-text-single-chunk, error cases (missing id / invalid scope / corrupted-missing-summary / corrupted-missing-full), end-to-end dispatch_id roundtrip, typical agent workflow pattern. Updated test_sdk_stubs.py to reflect retrieve is now implemented."
W11-AGENT-TELEMETRY,Production,budget_status() returns offload_ratio + remaining_budget + per-engine counts,shipped,Claude,-,2026-05-25,"harness.budget_status(since_hours, ledger_path) impl in _sdk.py. Returns offload+cost telemetry: session_tokens_total, session_cost_total, offload_ratio (sub_tokens/(sub+paid)), remaining_budget_usd (COST_MAX_PER_SESSION env default $5), dispatches_fired, engines_used dict, avg_cost_per_token, cost_max_per_session_usd. Subscription engines (kimi/mimo/swarm/*) treated as zero-cost for offload. Reads via budget.summary() from JSONL ledger. Payload <2KB poll-friendly. 22 tests cover shape/empty/multi-engine/offload-bounds/avg-cost/remaining-budget/since_hours/idempotent. Also bundled: 20-agent audit panel infra (audit_w_action_panel20.py + audit_w11_all_panel20.py) for operator's retroactive+active 10-Kimi+10-MiMo audit directive."
W11-CROSS-PLATFORM-OBSERVER,Production,cron alternative to Windows Task Scheduler for observer,shipped,Claude,2026-05-24,2026-05-25,Wave 11-C. Per panel A4: Windows Task Scheduler dependency breaks the harness for any Mac/Linux agent. Add cron-based observer arming with same cycle semantics. Detection: harness observer arm picks cron OR Task Scheduler based on platform. Tests verify both paths via mock subprocess. SHIPPED: src/harness/observer/cron_scheduler.py with register/unregister/scheduler_status + is_unix_like dispatch helper. Uses HARNESS_OBSERVER: marker comment to preserve operator non-harness entries. 23/23 tests pass.
W11-ADAPTER-VALIDATE-JSON,Production,adapter validate --json for agent auto-correction loops,shipped,Claude,-,2026-05-25,"--json flag added to harness adapter validate. _validate_exc_to_json_errors() converts Pydantic ValidationError + yaml.YAMLError + FileNotFoundError + generic Exception into structured {project, status, errors[]} payload. Each error has {field, line, severity, message, suggested_fix}. Pretty output preserved when --json not passed. Exit 0 for valid, 1 for errors. 10 new tests in tests/test_adapter_validate_json.py cover: helper paths (file-not-found, YAML error, Pydantic ValidationError, generic Exception), CLI integration (valid ok status, missing-file structured error, ValueError structured error, pretty path unchanged, error pretty path unchanged, JSON always parseable)."
2026-05-24T121153Z,Dispatch,Dispatch 2026-05-24T121153Z,shipped,Claude,-,2026-05-24,task=3315ba58767341c1af10b4c5182a9ec7; outcome=success
2026-05-24T131155Z,Dispatch,Dispatch 2026-05-24T131155Z,shipped,Claude,-,2026-05-24,task=9fecf760408c4d0d85dc6f120cab23c0; outcome=success
2026-05-24T141153Z,Dispatch,Dispatch 2026-05-24T141153Z,shipped,Claude,-,2026-05-24,task=241679e8683e4314b4384a676be8cde7; outcome=success
2026-05-24T151156Z,Dispatch,Dispatch 2026-05-24T151156Z,shipped,Claude,-,2026-05-24,task=54ccdf094d9840458c42b505c7ff7bc2; outcome=success
2026-05-24T161153Z,Dispatch,Dispatch 2026-05-24T161153Z,shipped,Claude,-,2026-05-24,task=d0589ae7f2a94b5896c4fd14e4589a04; outcome=success
2026-05-24T171153Z,Dispatch,Dispatch 2026-05-24T171153Z,shipped,Claude,-,2026-05-24,task=948fbb149f91403bbf18047aaff358ed; outcome=success
2026-05-24T181153Z,Dispatch,Dispatch 2026-05-24T181153Z,shipped,Claude,-,2026-05-24,task=ebb9719247f646339f648ac8182d76d5; outcome=success
2026-05-24T191353Z,Dispatch,Dispatch 2026-05-24T191353Z,shipped,Claude,-,2026-05-24,task=89162026c5af4988ad00a16bb52b849e; outcome=success
2026-05-24T201153Z,Dispatch,Dispatch 2026-05-24T201153Z,shipped,Claude,-,2026-05-24,task=6d80da847fdf45f4a9628edf202cdb62; outcome=success
W12-WINDOWS-CP1252-FIX,Production,Fix UnicodeEncodeError crash on Windows console for preflight/help/agent-init,shipped,Claude,2026-05-24,2026-05-24,"20-agent panel #1 universal blocker (19/19 personas). 3 entry points crashed on cp1252 with U+2192/U+03B1/U+2713. Fix: _bootstrap_utf8_stdout in cli.py::main() reconfigures sys.stdout+stderr to utf-8 errors=replace before click writes a byte. 11 regression tests including parametrized glyph coverage."
W12-DASHBOARD-WIRE-V2-ROUTES,Production,Wire /api/cost /api/preflight-latency /api/l5-events /api/loop into dashboard,shipped,Claude,2026-05-24,2026-05-24,"20-agent panel #2 universal blocker (16/19 personas). All 4 endpoints returned 404 leaving Wave 11 work invisible. Wired through to harness.cost_widget / harness.preflight_latency / harness.l5_escalation + observer.state. /api/loop adds is_stale + minutes_since_last_tick. 10 regression tests."
W12-CI-WINDOWS-CLI-SMOKE,Production,GitHub Actions step forcing PYTHONIOENCODING=cp1252 to catch Unicode regressions,shipped,Claude,2026-05-24,2026-05-24,"20-agent panel K01/K09/K06: existing Windows matrix uses utf-8 console hiding the bug. New step runs 6 CLI verbs with PYTHONIOENCODING=cp1252 to reproduce the exact failure mode. Blocks ship on regression."
W12-WATCHDOG-HUMAN-FORMAT,Production,Watchdog status now leads with operator-friendly one-liner,shipped,Claude,2026-05-24,2026-05-24,"Panel M07: 'machine-shaped output stale_seconds: 1209.65 with no context'. Added stale_human + cadence_human + verdict + summary_line fields to watchdog_status(). CLI now prints 'Watchdog: OK - last cycle 17min ago (cadence: every 60m)' as the first line matching the cost-widget pattern."
W12-LOOP-STALENESS-WATCHDOG,Production,harness today now surfaces dev-loop staleness when last tick >24h ago,shipped,Claude,2026-05-24,2026-05-24,"Panel K10/M03: dashboard claimed 'Loop: armed' while last tick was 3 days ago. New 'Loop health' section in harness today reads coord/dev_loop/state.json and flags age >24h with [!] warning. Pair with /api/loop's is_stale for dashboard consistency."
